term	chapter	heading
Tétano neonatal	sinan	Tétano neonatal
Toxoplasmose congênita	sinan	Toxoplasmose congênita
Toxoplasmose gestacional	sinan	Toxoplasmose gestacional
Tuberculose	sinan	Tuberculose
Varicela	sinan	Varicela/herpes-zóster
Herpes-zóster	sinan	Varicela/herpes-zóster
Violência doméstica e sexual	sinan	Violência doméstica, sexual e/ou outras violências
Violência interpessoal ou autoprovocada	sinan	Violência interpessoal/autoprovocada
Zika vírus	sinan	Zika vírus
SIVEP	sinan	SINAN e SIVEP
CNES — Cadastro Nacional de Estabelecimentos de Saúde	cnes	CNES — Cadastro Nacional de Estabelecimentos de Saúde
Estabelecimento de saúde	cnes	Unidade de análise
Série histórica do CNES	cnes	Estabelecimentos em série histórica
Leitos hospitalares	cnes	Exemplo: leitos hospitalares
Profissionais de saúde	cnes	Exemplo: profissionais e vínculos
Vínculos profissionais	cnes	Exemplo: profissionais e vínculos
Geocodificação	cnes	Geocodificação e análise espacial
Análise espacial	cnes	Geocodificação e análise espacial
Qualidade dos dados	cnes	Qualidade dos dados
Rede SUS	cnes	Rede SUS, privada, filantrópica e suplementar
Rede privada	cnes	Rede SUS, privada, filantrópica e suplementar
Rede filantrópica	cnes	Rede SUS, privada, filantrópica e suplementar
Rede suplementar	cnes	Rede SUS, privada, filantrópica e suplementar
Denominadores	cnes	CNES como denominador
SISAGUA — Sistema de Informação de Vigilância da Qualidade da Água para Consumo Humano	sisagua	SISAGUA — Sistema de Informação de Vigilância da Qualidade da Água para Consumo Humano
Qualidade da água	sisagua	SISAGUA — Sistema de Informação de Vigilância da Qualidade da Água para Consumo Humano
Controle da qualidade da água	sisagua	Controle e vigilância
Vigilância da qualidade da água	sisagua	Controle e vigilância
Formas de abastecimento de água	sisagua	Formas de abastecimento
Unidade de análise	sisagua	Unidade de análise
Potabilidade	sisagua	Parâmetros e potabilidade
Plano de amostragem	sisagua	Plano de amostragem
Indicador microbiológico	sisagua	Exemplo: indicador microbiológico
Emergências em saúde pública	sisagua	Monitoramento em emergências
SIOPS — Sistema de Informações sobre Orçamentos Públicos em Saúde	siops	SIOPS — Sistema de Informações sobre Orçamentos Públicos em Saúde
Orçamento público em saúde	siops	SIOPS — Sistema de Informações sobre Orçamentos Públicos em Saúde
Esferas federativas	siops	Esferas federativas e responsabilidades
Despesa pública em saúde	siops	Fases da despesa
Ações e Serviços Públicos de Saúde (ASPS)	siops	ASPS e aplicação mínima
Aplicação mínima em saúde	siops	ASPS e aplicação mínima
Restos a pagar	siops	Restos a pagar e compensações
Deflação	siops	Deflação de valores monetários
Financiamento da saúde	siops	Financiamento, acesso e resultados
Siaps — Sistema de Informação para a Atenção Primária à Saúde	sisaps	Siaps — Sistema de Informação para a Atenção Primária à Saúde
Atenção Primária à Saúde (APS)	sisaps	Siaps — Sistema de Informação para a Atenção Primária à Saúde
Equipe de saúde	sisaps	Identificadores de equipe
Denominadores	sisaps	Qual denominador usar?
Cofinanciamento da APS	sisaps	Indicadores e cofinanciamento
Vínculo territorial	sisaps	Vínculo territorial
Pré-natal na APS	sisaps	Exemplo: pré-natal na APS
Privacidade	sisaps	Privacidade e agregação
SI-PNI — Sistema de Informações do Programa Nacional de Imunizações	sipni	SI-PNI — Sistema de Informações do Programa Nacional de Imunizações
Programa Nacional de Imunizações (PNI)	sipni	SI-PNI — Sistema de Informações do Programa Nacional de Imunizações
Registro de imunização	sipni	O que o SI-PNI registra
Dose de vacina	sipni	Dose, pessoa e esquema
Esquema vacinal	sipni	Dose, pessoa e esquema
Cobertura vacinal	sipni	Cobertura vacinal e denominadores
Cobertura administrativa	sipni	Cobertura administrativa e cobertura de inquérito
Cobertura de inquérito	sipni	Cobertura administrativa e cobertura de inquérito
Campanha de vacinação	sipni	Rotina, campanha e Covid-19
Dados individualizados	sipni	Privacidade e dados individualizados
RNDS — Rede Nacional de Dados em Saúde	rnds	RNDS — Rede Nacional de Dados em Saúde
Arquitetura da RNDS	rnds	Arquitetura em camadas
Modelos de informação	rnds	Modelos de informação
FHIR	rnds	FHIR, terminologias e semântica
Terminologias em saúde	rnds	FHIR, terminologias e semântica
Semântica	rnds	FHIR, terminologias e semântica
Identificadores em saúde	rnds	Identificadores essenciais
Dados abertos	rnds	RNDS e dados abertos
Privacidade	rnds	Privacidade, segurança e governança
Segurança da informação	rnds	Privacidade, segurança e governança
Governança de dados	rnds	Privacidade, segurança e governança
Continuidade do cuidado	rnds	Continuidade do cuidado
Uso secundário de dados	rnds	Uso secundário de dados
CID — Classificação Internacional de Doenças	cid	CID — Classificação Internacional de Doenças
CID-10	cid	Estrutura da CID-10
Mortalidade e morbidade	cid	Mortalidade e morbidade
Causas externas	cid	Causas externas
CID-11	cid	CID-11 e transição no Brasil
Códigos dos municípios	codmun	Códigos dos municípios
Código do município	codmun	Estrutura do código
Divisão Territorial Brasileira (DTB)	codmun	Divisão Territorial Brasileira
Regionalização em saúde	codmun	Regionalização em saúde
Região de Saúde	codmun	Regionalização em saúde
Macrorregião de Saúde	codmun	Regionalização em saúde
Junção de dados	codmun	Boas práticas para junções
Estimativas populacionais	pop	Estimativas populacionais
Censo demográfico	pop	Censo, contagem, estimativa e projeção
Contagem populacional	pop	Censo, contagem, estimativa e projeção
Projeção populacional	pop	Censo, contagem, estimativa e projeção
IBGE	pop	IBGE — TCU
Denominadores	pop	Escolha do denominador
SIVEP — Sistema de Vigilância Epidemiológica	sivep	SIVEP — Sistema de Vigilância Epidemiológica
SIVEP-Gripe	sivep	SIVEP-Gripe
SIVEP-Malária	sivep	SIVEP-Malária
SIVEP-DDA	sivep	SIVEP-DDA
SISVAN — Sistema de Vigilância Alimentar e Nutricional	sisvan	SISVAN — Sistema de Vigilância Alimentar e Nutricional
Vigilância alimentar e nutricional	sisvan	SISVAN — Sistema de Vigilância Alimentar e Nutricional
ANS — Agência Nacional de Saúde Suplementar	ans	ANS — Agência Nacional de Saúde Suplementar
Planos privados de saúde	ans	Para que serve a ANS
Regulação da saúde suplementar	ans	Criação e principais marcos regulatórios
Saúde suplementar	ans	Para que serve a ANS
Sistema de Informações de Beneficiários (SIB)	ans	Sistemas e fluxos de informação da saúde suplementar
Troca de Informações na Saúde Suplementar (TISS)	ans	Sistemas e fluxos de informação da saúde suplementar
Terminologia Unificada da Saúde Suplementar (TUSS)	ans	Sistemas e fluxos de informação da saúde suplementar
Sistema de Informações de Produtos (SIP)	ans	Sistemas e fluxos de informação da saúde suplementar
DIOPS	ans	Sistemas e fluxos de informação da saúde suplementar
NIP	ans	Para que serve a ANS
IDSS	ans	Para que serve a ANS
Dados abertos da ANS	ans	Dados abertos e formas de acesso
Ressarcimento ao SUS	ans	Ressarcimento ao SUS como integração institucional
Interoperabilidade	interoperabilidade	Interoperabilidade entre os Sistemas de Informação em Saúde
Interoperabilidade técnica	interoperabilidade	O que é interoperabilidade
Interoperabilidade semântica	interoperabilidade	O que é interoperabilidade
Interoperabilidade organizacional	interoperabilidade	O que é interoperabilidade
Linkage	interoperabilidade	O que é *linkage*
Relacionamento determinístico	interoperabilidade	Relacionamento determinístico
Relacionamento probabilístico	interoperabilidade	Relacionamento probabilístico
Métodos híbridos de relacionamento	interoperabilidade	Estratégias híbridas e métodos de classificação
Privacidade	interoperabilidade	Privacidade, segurança e uso responsável
Proteção de dados	interoperabilidade	Privacidade, segurança e uso responsável
SISCAN — Sistema de Informação de Câncer	siscan	SISCAN — Sistema de Informação de Câncer
SISCOLO	siscan	SISCAN, SISCOLO e SISMAMA
SISMAMA	siscan	SISCAN, SISCOLO e SISMAMA
Painel Oncologia	siscan	Painel Oncologia
Rastreamento do câncer	siscan	Rastreamento, diagnóstico e seguimento
Câncer de mama	siscan	Rastreamento, diagnóstico e seguimento
Câncer do colo do útero	siscan	Rastreamento, diagnóstico e seguimento
Mamografia	siscan	O que o SISCAN registra
Detecção precoce do câncer	siscan	Quando usar o SISCAN
Monitoramento externo da qualidade	siscan	Qualidade e cobertura
Inquéritos e pesquisas de saúde	inqueritos	Inquéritos e pesquisas de saúde
Inquéritos de saúde	inqueritos	Inquéritos e sistemas de informação
Pesquisa amostral	inqueritos	Conceitos de desenho amostral
Amostragem complexa	inqueritos	Conceitos de desenho amostral
Peso amostral	inqueritos	Conceitos de desenho amostral
Unidade primária de amostragem	inqueritos	Conceitos de desenho amostral
Efeito do desenho	inqueritos	Conceitos de desenho amostral
Erro amostral	inqueritos	Conceitos de desenho amostral
Intervalo de confiança	inqueritos	Conceitos de desenho amostral
Não resposta	inqueritos	Conceitos de desenho amostral
PNS — Pesquisa Nacional de Saúde	inqueritos	PNS
Biomarcadores	inqueritos	PNS
PNAD — Pesquisa Nacional por Amostra de Domicílios	inqueritos	PNAD e os suplementos de saúde
PNAD Contínua	inqueritos	PNAD e os suplementos de saúde
Informante substituto	inqueritos	Informante direto e informante substituto
Vigitel	inqueritos	Vigitel
Inquérito telefônico	inqueritos	Vigitel
VIVA — Sistema de Vigilância de Violências e Acidentes	inqueritos	VIVA: sistema e inquérito
VIVA Inquérito	inqueritos	VIVA: sistema e inquérito
VIVA/Sinan	inqueritos	VIVA: sistema e inquérito
Vigilância sentinela	inqueritos	VIVA: sistema e inquérito
Autorrelato	inqueritos	Autorrelato, informante substituto e medidas diretas
