capitulo;grupo;codigo;tipo;descricao
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A033;subcategoria;Shiguelose devida a Shigella sonnei
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A038;subcategoria;Outras shigueloses
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A039;subcategoria;Shiguelose não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A04;categoria;Outras infecções intestinais bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A040;subcategoria;Infecção por Escherichia coli enteropatogênica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A041;subcategoria;Infecção por Escherichia coli enterotoxigênica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A042;subcategoria;Infecção por Escherichia coli enteroinvasiva
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A043;subcategoria;Infecção por Escherichia coli enterohemorrágica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A044;subcategoria;Outras infecções intestinais por Escherichia coli
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A045;subcategoria;Enterite por Campylobacter
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A046;subcategoria;Enterite devida a Yersinia enterocolítica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A047;subcategoria;Enterocolite devida a Clostridium difficile
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A048;subcategoria;Outras infecções bacterianas intestinais especificadas
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A049;subcategoria;Infecção intestinal bacteriana não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A05;categoria;Outras intoxicações alimentares bacterianas, não classificadas em outra parte
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A050;subcategoria;Intoxicação alimentar estafilocócica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A051;subcategoria;Botulismo
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A052;subcategoria;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A053;subcategoria;Intoxicação alimentar devida a Vibrio parahemolyticus
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A054;subcategoria;Intoxicação alimentar devida a Bacillus cereus
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A058;subcategoria;Outras intoxicações alimentares bacterianas especificadas
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A059;subcategoria;Intoxicação alimentar bacteriana não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A06;categoria;Amebíase
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A060;subcategoria;Disenteria amebiana aguda
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A061;subcategoria;Amebíase intestinal crônica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A062;subcategoria;Colite amebiana não-disentérica
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A063;subcategoria;Ameboma intestinal
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A064;subcategoria;Abscesso amebiano do fígado
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A065;subcategoria;Abscesso amebiano do pulmão
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A066;subcategoria;Abscesso amebiano do cérebro
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A067;subcategoria;Amebíase cutânea
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A068;subcategoria;Infecção amebiana de outras localizações
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A069;subcategoria;Amebíase não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A07;categoria;Outras doenças intestinais por protozoários
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A070;subcategoria;Balantidíase
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A071;subcategoria;Giardíase [lamblíase]
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A072;subcategoria;Criptosporidiose
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A073;subcategoria;Isosporíase
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A078;subcategoria;Outras doenças intestinais especificadas por protozoários
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A079;subcategoria;Doença intestinal não especificada por protozoários
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A08;categoria;Infecções intestinais virais, outras e as não especificadas
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A080;subcategoria;Enterite por rotavírus
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A081;subcategoria;Gastroenteropatia aguda pelo agente de Norwalk
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A082;subcategoria;Enterite por adenovírus
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A083;subcategoria;Outras enterites virais
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A084;subcategoria;Infecção intestinal devida a vírus não especificado
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A085;subcategoria;Outras infecções intestinais especificadas
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A09;categoria;Diarréia e gastroenterite de origem infecciosa presumível
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A09;subcategoria;Diarréia e gastroenterite de origem infecciosa presumível
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A15;categoria;Tuberculose respiratória, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A150;subcategoria;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A151;subcategoria;Tuberculose pulmonar, com confirmação somente por cultura
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A152;subcategoria;Tuberculose pulmonar, com confirmação histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A153;subcategoria;Tuberculose pulmonar, com confirmação por meio não especificado
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A154;subcategoria;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A155;subcategoria;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A156;subcategoria;Pleuris tuberculoso, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A157;subcategoria;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A158;subcategoria;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A159;subcategoria;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A16;categoria;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A160;subcategoria;Tuberculose pulmonar com exames bacteriológico e histológico negativos
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A161;subcategoria;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A162;subcategoria;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A163;subcategoria;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A164;subcategoria;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A165;subcategoria;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A167;subcategoria;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A168;subcategoria;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A169;subcategoria;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A17;categoria;Tuberculose do sistema nervoso
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A170;subcategoria;Meningite tuberculosa
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A171;subcategoria;Tuberculoma meníngeo
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A178;subcategoria;Outras tuberculoses do sistema nervoso
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A179;subcategoria;Tuberculose não especificada do sistema nervoso
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A18;categoria;Tuberculose de outros órgãos
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A180;subcategoria;Tuberculose óssea e das articulações
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A181;subcategoria;Tuberculose do aparelho geniturinário
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A182;subcategoria;Linfadenopatia tuberculosa periférica
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A183;subcategoria;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A184;subcategoria;Tuberculose de pele e do tecido celular subcutâneo
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A185;subcategoria;Tuberculose do olho
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A186;subcategoria;Tuberculose do ouvido
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A187;subcategoria;Tuberculose das supra-renais
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A188;subcategoria;Tuberculose de outros órgãos especificados
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A19;categoria;Tuberculose miliar
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A190;subcategoria;Tuberculose miliar aguda de localização única e especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A191;subcategoria;Tuberculose miliar aguda de múltiplas localizações
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A192;subcategoria;Tuberculose miliar aguda não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A198;subcategoria;Outras tuberculoses miliares
Capítulo I - Algumas doenças infecciosas e parasitárias;Tuberculose;A199;subcategoria;Tuberculose miliar não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A20;categoria;Peste
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A200;subcategoria;Peste bubônica
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A201;subcategoria;Peste celulocutânea
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A202;subcategoria;Peste pneumônica
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A203;subcategoria;Peste meníngea
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A207;subcategoria;Peste septicêmica
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A208;subcategoria;Outras formas de peste
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A209;subcategoria;Peste, forma não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A21;categoria;Tularemia
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A210;subcategoria;Tularemia ulceroglandular
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A211;subcategoria;Tularemia oculoglandular
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A212;subcategoria;Tularemia pulmonar
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A213;subcategoria;Tularemia gastrointestinal
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A217;subcategoria;Tularemia generalizada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A218;subcategoria;Outras formas de tularemia
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A219;subcategoria;Tularemia, forma não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A22;categoria;Carbúnculo
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A220;subcategoria;Carbúnculo cutâneo
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A221;subcategoria;Carbúnculo pulmonar
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A222;subcategoria;Carbúnculo gastrointestinal
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A227;subcategoria;Septicemia carbunculosa
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A228;subcategoria;Outras formas de carbúnculo
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A229;subcategoria;Carbúnculo, forma não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A23;categoria;Brucelose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A230;subcategoria;Brucelose por Brucella melitensis
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A231;subcategoria;Brucelose por Brucella abortus
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A232;subcategoria;Brucelose por Brucella suis
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A233;subcategoria;Brucelose por Brucella canis
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A238;subcategoria;Outras bruceloses
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A239;subcategoria;Brucelose não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A24;categoria;Mormo e melioidose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A240;subcategoria;Mormo
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A241;subcategoria;Melioidose aguda e fulminante
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A242;subcategoria;Melioidose subaguda e crônica
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A243;subcategoria;Outras melioidoses
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A244;subcategoria;Melioidose não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A25;categoria;Febres transmitidas por mordedura de rato
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A250;subcategoria;Espirilose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A251;subcategoria;Estreptobacilose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A259;subcategoria;Febre transmitida por mordedura de rato, tipo não especificado
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A26;categoria;Erisipelóide
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A260;subcategoria;Erisipelóide cutâneo
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A267;subcategoria;Septicemia por Erysipelothrix
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A268;subcategoria;Outras formas de erisipelóide
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A269;subcategoria;Erisipelóide não especificado
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A27;categoria;Leptospirose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A270;subcategoria;Leptopirose icterohemorrágica
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A278;subcategoria;Outras formas de leptospirose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A279;subcategoria;Leptospirose não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A28;categoria;Outras doenças bacterianas zoonóticas não classificadas em outra parte
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A280;subcategoria;Pasteurelose
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A281;subcategoria;Doença por arranhadura do gato
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A282;subcategoria;Yersiniose extra-intestinal
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A288;subcategoria;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
Capítulo I - Algumas doenças infecciosas e parasitárias;Algumas doenças bacterianas zoonóticas;A289;subcategoria;Doença bacteriana zoonótica não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A30;categoria;Hanseníase [doença de Hansen] [lepra]
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A300;subcategoria;Hanseníase [lepra] indeterminada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A301;subcategoria;Hanseníase [lepra] tuberculóide
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A302;subcategoria;Hanseníase [lepra] tuberculóide borderline
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A303;subcategoria;Hanseníase [lepra] dimorfa
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A304;subcategoria;Hanseníase [lepra] lepromatosa borderline
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A305;subcategoria;Hanseníase [lepra] lepromatosa
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A308;subcategoria;Outras formas de hanseníase [lepra]
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A309;subcategoria;Hanseníase [lepra] não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A31;categoria;Infecções devidas a outras micobactérias
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A310;subcategoria;Infecção pulmonar micobacteriana
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A311;subcategoria;Infecção cutânea micobacteriana
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A318;subcategoria;Outras infecções micobacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A319;subcategoria;Infecção micobacteriana não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A32;categoria;Listeriose [listeríase]
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A320;subcategoria;Listeriose cutânea
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A321;subcategoria;Meningite e meningoencefalite por listéria
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A327;subcategoria;Septicemia listeriótica
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A328;subcategoria;Outras formas de listeriose
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A329;subcategoria;Listeriose não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A33;categoria;Tétano do recém-nascido [neonatal]
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A33;subcategoria;Tétano do recém-nascido [neonatal]
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A34;categoria;Tétano obstétrico
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A34;subcategoria;Tétano obstétrico
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A35;categoria;Outros tipos de tétano
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A35;subcategoria;Outros tipos de tétano
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A36;categoria;Difteria
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A360;subcategoria;Difteria faríngea
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A361;subcategoria;Difteria nasofaríngea
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A362;subcategoria;Difteria laríngea
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A363;subcategoria;Difteria cutânea
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A368;subcategoria;Outras formas de difteria
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A369;subcategoria;Difteria não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A37;categoria;Coqueluche
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A370;subcategoria;Coqueluche por Bordetella pertussis
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A371;subcategoria;Coqueluche por Bordetella parapertussis
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A378;subcategoria;Coqueluche por outras espécies da Bordetella
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A379;subcategoria;Coqueluche não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A38;categoria;Escarlatina
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A38;subcategoria;Escarlatina
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A39;categoria;Infecção meningogócica
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A390;subcategoria;Meningite meningocócica
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A391;subcategoria;Síndrome de Waterhouse-Friderichsen
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A392;subcategoria;Meningococcemia aguda
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A393;subcategoria;Meningococcemia crônica
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A394;subcategoria;Meningococcemia não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A395;subcategoria;Cardite por meningococos
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A398;subcategoria;Outras infecções por meningococos
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A399;subcategoria;Infecção meningocócica não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A40;categoria;Septicemia estreptocócica
Capítulo I - Algumas doenças infecciosas e parasitárias;Outras doenças bacterianas;A400;subcategoria;Septicemia por Streptococcus do grupo A
